lga,district_area,postalcode,town
Afijio,Akinmorin / Jobele,211102,Aba Ibadan
Afijio,Akinmorin / Jobele,211102,Aba Kasia
Afijio,Akinmorin / Jobele,211102,Akinmorin
Afijio,Akinmorin / Jobele,211102,Alapadi
Afijio,Akinmorin / Jobele,211102,Anfelerin
Afijio,Akinmorin / Jobele,211102,Bali
Afijio,Akinmorin / Jobele,211102,Basi
Afijio,Akinmorin / Jobele,211102,Ekewa
Afijio,Akinmorin / Jobele,211102,Eleko
Afijio,Akinmorin / Jobele,211102,Elepe
Afijio,Akinmorin / Jobele,211102,Elesu
Afijio,Akinmorin / Jobele,211102,Elewebe
Afijio,Akinmorin / Jobele,211102,Fadare
Afijio,Akinmorin / Jobele,211102,Idiito
Afijio,Akinmorin / Jobele,211102,Ijefon
Afijio,Akinmorin / Jobele,211102,Ile Olufi
Afijio,Akinmorin / Jobele,211102,Imeleke
Afijio,Akinmorin / Jobele,211102,Iseke
Afijio,Akinmorin / Jobele,211102,Jagun
Afijio,Akinmorin / Jobele,211102,Jobele
Afijio,Akinmorin / Jobele,211102,Jokan
Afijio,Akinmorin / Jobele,211102,Kolobo
Afijio,Akinmorin / Jobele,211102,Lanipekun
Afijio,Akinmorin / Jobele,211102,Lapiti
Afijio,Akinmorin / Jobele,211102,Oke
Afijio,Akinmorin / Jobele,211102,Olokiti
Afijio,Akinmorin / Jobele,211102,Oniyanrin
Afijio,Akinmorin / Jobele,211102,Sulu
Afijio,Awe,211106,Aba Bara
Afijio,Awe,211106,Aba Ogunremi
Afijio,Awe,211106,Aba Olori
Afijio,Awe,211106,Aiyekale
Afijio,Awe,211106,Ajegunle
Afijio,Awe,211106,Apaara
Afijio,Awe,211106,Asipa
Afijio,Awe,211106,Awe
Afijio,Awe,211106,Emiabata
Afijio,Awe,211106,Idi Agbon
Afijio,Awe,211106,Idi Orpa
Afijio,Awe,211106,Idimangoro
Afijio,Awe,211106,Ijado
Afijio,Awe,211106,Isale Apata
Afijio,Awe,211106,Jabata
Afijio,Awe,211106,Kiyesemi
Afijio,Awe,211106,Kosobo
Afijio,Awe,211106,Laraniyi
Afijio,Awe,211106,Moromipin
Afijio,Awe,211106,Olukolu
Afijio,Awe,211106,Oluode
Afijio,Awe,211106,Onfunfun
Afijio,Fiditi,211104,Adekunfe
Afijio,Fiditi,211104,Agbaakin
Afijio,Fiditi,211104,Bello
Afijio,Fiditi,211104,Dakeja
Afijio,Fiditi,211104,Egbejoda
Afijio,Fiditi,211104,Fiditi
Afijio,Fiditi,211104,Idowu Oko
Afijio,Fiditi,211104,Ijaiye Ojutaye
Afijio,Fiditi,211104,Irepodun Village
Afijio,Fiditi,211104,Modeni
Afijio,Ilora/Oluwa-Tedo,211105,Abeodo
Afijio,Ilora/Oluwa-Tedo,211105,Aburumaku
Afijio,Ilora/Oluwa-Tedo,211105,Agbonrin
Afijio,Ilora/Oluwa-Tedo,211105,Ago Fulani
Afijio,Ilora/Oluwa-Tedo,211105,Agunbiade
Afijio,Ilora/Oluwa-Tedo,211105,Ajuwon
Afijio,Ilora/Oluwa-Tedo,211105,Akee
Afijio,Ilora/Oluwa-Tedo,211105,Akesapon
Afijio,Ilora/Oluwa-Tedo,211105,Akinpelu
Afijio,Ilora/Oluwa-Tedo,211105,Akodudu
Afijio,Ilora/Oluwa-Tedo,211105,Akuo
Afijio,Ilora/Oluwa-Tedo,211105,Alapinni
Afijio,Ilora/Oluwa-Tedo,211105,Alawusa
Afijio,Ilora/Oluwa-Tedo,211105,Anti
Afijio,Ilora/Oluwa-Tedo,211105,Aribambo
Afijio,Ilora/Oluwa-Tedo,211105,Aridiogo
Afijio,Ilora/Oluwa-Tedo,211105,Arin
Afijio,Ilora/Oluwa-Tedo,211105,Eleekara
Afijio,Ilora/Oluwa-Tedo,211105,Eleyele
Afijio,Ilora/Oluwa-Tedo,211105,Fadari
Afijio,Ilora/Oluwa-Tedo,211105,Ilora
Afijio,Ilora/Oluwa-Tedo,211105,Obananko
Afijio,Ilora/Oluwa-Tedo,211105,Obanlete
Afijio,Ilora/Oluwa-Tedo,211105,Ogunwemimo
Afijio,Ilora/Oluwa-Tedo,211105,Ojutaye
Afijio,Ilora/Oluwa-Tedo,211105,Olorieru
Afijio,Ilora/Oluwa-Tedo,211105,Olukosolu
Afijio,Ilora/Oluwa-Tedo,211105,Olukotun
Afijio,Ilora/Oluwa-Tedo,211105,Oluwatedo
Afijio,Ilora/Oluwa-Tedo,211105,Onikoko
Afijio,Ilora/Oluwa-Tedo,211105,Oniluru
Afijio,Ilora/Oluwa-Tedo,211105,Sakutu
Afijio,Ilora/Oluwa-Tedo,211105,Temidire Farm Sett.
Afijio,Imini,211107,Agoyo
Afijio,Imini,211107,Ajana
Afijio,Imini,211107,Ajobo
Afijio,Imini,211107,Arulogun
Afijio,Imini,211107,Atan
Afijio,Imini,211107,Atente
Afijio,Imini,211107,Hosi
Afijio,Imini,211107,Ilu Aje
Afijio,Imini,211107,Imini
Afijio,Imini,211107,Isioye
Afijio,Imini,211107,Japeta
Afijio,Imini,211107,Lakanpa
Afijio,Imini,211107,Ojerinde
Afijio,Imini,211107,Okelagun
Afijio,Imini,211107,Olounde
Afijio,Imini,211107,Olowa
Afijio,Imini,211107,Waya
Afijio,Iware,211103,Aba Jagun
Afijio,Iware,211103,Ajayi
Afijio,Iware,211103,Akinola
Afijio,Iware,211103,Iware
Afijio,Iware,211103,Labe
Afijio,Iware,211103,Molade
Afijio,Iware,211103,Ogunkanmi
Afijio,Iware,211103,Ojerinde
Afijio,Iware,211103,Sekeseke
Akinyele,Ajibade / Alabata,200135,Agbedo
Akinyele,Ajibade / Alabata,200135,Ajibade
Akinyele,Ajibade / Alabata,200135,Akingbala
Akinyele,Ajibade / Alabata,200135,Alabata
Akinyele,Ajibade / Alabata,200135,Alagbaa
Akinyele,Ajibade / Alabata,200135,Balogun
Akinyele,Ajibade / Alabata,200135,Dabadango
Akinyele,Ajibade / Alabata,200135,Elekuru
Akinyele,Ajibade / Alabata,200135,Lakeye
Akinyele,Ajibade / Alabata,200135,Olode
Akinyele,Ajibade / Alabata,200135,Olorisa
Akinyele,Ajibade / Alabata,200135,Onibon-Nla
Akinyele,Akinyele,200136,Agbirigidi
Akinyele,Akinyele,200136,Ajobo
Akinyele,Akinyele,200136,Akingbala
Akinyele,Akinyele,200136,Akinjero 1 & II
Akinyele,Akinyele,200136,Akinyele
Akinyele,Akinyele,200136,Alagbaa
Akinyele,Akinyele,200136,Babalawo
Akinyele,Akinyele,200136,Iba
Akinyele,Akinyele,200136,Irepodun
Akinyele,Akinyele,200136,Isabiyi
Akinyele,Akinyele,200136,Solalu
Akinyele,Arulogun / Igbo OLoyin /,200134,Adebayo
Akinyele,Arulogun / Igbo OLoyin /,200134,Agbongun
Akinyele,Arulogun / Igbo OLoyin /,200134,Ajobo
Akinyele,Arulogun / Igbo OLoyin /,200134,Akinaje
Akinyele,Arulogun / Igbo OLoyin /,200134,Akinode
Akinyele,Arulogun / Igbo OLoyin /,200134,Aroro
Akinyele,Arulogun / Igbo OLoyin /,200134,Arulogun
Akinyele,Arulogun / Igbo OLoyin /,200134,Atere
Akinyele,Arulogun / Igbo OLoyin /,200134,Balogun
Akinyele,Arulogun / Igbo OLoyin /,200134,Eniosa
Akinyele,Arulogun / Igbo OLoyin /,200134,Igboloyin
Akinyele,Arulogun / Igbo OLoyin /,200134,Ogunranti
Akinyele,Arulogun / Igbo OLoyin /,200134,Olanla
Akinyele,Arulogun / Igbo OLoyin /,200134,Oluwo
Akinyele,Arulogun / Igbo OLoyin /,200134,Salako
Akinyele,Ijaye,200137,Agbonrin
Akinyele,Ijaye,200137,Ajibode
Akinyele,Ijaye,200137,Atan Ojedele
Akinyele,Ijaye,200137,Atan-Nla
Akinyele,Ijaye,200137,Bamidele
Akinyele,Ijaye,200137,Fagbenro
Akinyele,Ijaye,200137,Fagunwa
